t|posX|posY|posZ|vel|velX|velY|velZ
86.000000|99.353072|710.297824|-0.000000|8.162433|-0.008423|8.162429|-0.000000
87.000000|99.344647|718.460240|-0.000000|8.162420|-0.008425|8.162416|-0.000000
88.000000|99.336220|726.622643|-0.000000|8.162407|-0.008427|8.162403|-0.000000
89.000000|99.327791|734.785034|-0.000000|8.162395|-0.008429|8.162391|-0.000000
90.000000|99.319361|742.947412|-0.000000|8.162383|-0.008430|8.162379|-0.000000
91.000000|99.310929|751.109779|-0.000000|8.162371|-0.008432|8.162367|-0.000000
92.000000|99.302495|759.272135|-0.000000|8.162360|-0.008433|8.162355|-0.000000
93.000000|99.294060|767.434479|-0.000000|8.162349|-0.008435|8.162344|-0.000000
94.000000|99.285624|775.596812|-0.000000|8.162338|-0.008436|8.162333|-0.000000
95.000000|99.277186|783.759135|-0.000000|8.162327|-0.008438|8.162322|-0.000000
96.000000|99.268747|791.921446|-0.000000|8.162316|-0.008439|8.162312|-0.000000
97.000000|99.260307|800.083748|-0.000000|8.162306|-0.008440|8.162301|-0.000000
98.000000|99.251865|808.246039|-0.000000|8.162295|-0.008442|8.162291|-0.000000
99.000000|99.243422|816.408320|-0.000000|8.162286|-0.008443|8.162281|-0.000000
100.000000|99.234978|824.570591|-0.000000|8.162276|-0.008444|8.162271|-0.000000
101.000000|99.226533|832.732853|-0.000000|8.162266|-0.008445|8.162262|-0.000000
102.000000|99.218087|840.895105|-0.000000|8.162257|-0.008446|8.162252|-0.000000
103.000000|99.209640|849.057348|-0.000000|8.162247|-0.008447|8.162243|-0.000000
104.000000|99.201191|857.219582|-0.000000|8.162238|-0.008448|8.162234|-0.000000
105.000000|99.192742|865.381807|-0.000000|8.162229|-0.008450|8.162225|-0.000000
106.000000|99.184291|873.544024|-0.000000|8.162221|-0.008451|8.162216|-0.000000
107.000000|99.175840|881.706232|-0.000000|8.162212|-0.008451|8.162208|-0.000000
108.000000|99.167387|889.868431|-0.000000|8.162204|-0.008452|8.162199|-0.000000
109.000000|99.158934|898.030622|-0.000000|8.162195|-0.008453|8.162191|-0.000000
110.000000|99.150480|906.192805|-0.000000|8.162187|-0.008454|8.162183|-0.000000
111.000000|99.142024|914.354980|-0.000000|8.162179|-0.008455|8.162175|-0.000000
112.000000|99.133568|922.517147|-0.000000|8.162172|-0.008456|8.162167|-0.000000
113.000000|99.125112|930.679306|-0.000000|8.162164|-0.008457|8.162159|-0.000000
114.000000|99.116654|938.841458|-0.000000|8.162156|-0.008458|8.162152|-0.000000
115.000000|99.108196|947.003603|-0.000000|8.162149|-0.008458|8.162144|-0.000000
116.000000|99.099737|955.165740|-0.000000|8.162141|-0.008459|8.162137|-0.000000
117.000000|99.091277|963.327870|-0.000000|8.162134|-0.008460|8.162130|-0.000000
118.000000|99.082816|971.489992|-0.000000|8.162127|-0.008461|8.162123|-0.000000
119.000000|99.074355|979.652108|-0.000000|8.162120|-0.008461|8.162116|-0.000000
120.000000|99.065893|987.814217|-0.000000|8.162113|-0.008462|8.162109|-0.000000
121.000000|99.057430|995.976320|-0.000000|8.162107|-0.008463|8.162102|-0.000000
122.000000|99.048967|1004.138415|-0.000000|8.162100|-0.008463|8.162096|-0.000000
123.000000|99.040502|1012.300504|-0.000000|8.162093|-0.008464|8.162089|-0.000000
124.000000|99.032038|1020.462587|-0.000000|8.162087|-0.008465|8.162083|-0.000000
125.000000|99.023573|1028.624663|-0.000000|8.162081|-0.008465|8.162076|-0.000000
126.000000|99.015107|1036.786733|-0.000000|8.162075|-0.008466|8.162070|-0.000000
127.000000|99.006640|1044.948797|-0.000000|8.162068|-0.008466|8.162064|-0.000000
128.000000|98.998173|1053.110855|-0.000000|8.162062|-0.008467|8.162058|-0.000000
129.000000|98.989706|1061.272907|-0.000000|8.162056|-0.008468|8.162052|-0.000000
130.000000|98.981238|1069.434954|-0.000000|8.162051|-0.008468|8.162046|-0.000000
131.000000|98.972769|1077.596994|-0.000000|8.162045|-0.008469|8.162040|-0.000000
132.000000|98.964300|1085.759029|-0.000000|8.162039|-0.008469|8.162035|-0.000000
133.000000|98.955830|1093.921058|-0.000000|8.162034|-0.008470|8.162029|-0.000000
134.000000|98.947360|1102.083082|-0.000000|8.162028|-0.008470|8.162024|-0.000000
135.000000|98.938889|1110.245100|-0.000000|8.162023|-0.008471|8.162018|-0.000000
136.000000|98.930418|1118.407113|-0.000000|8.162017|-0.008471|8.162013|-0.000000
137.000000|98.921947|1126.569120|-0.000000|8.162012|-0.008472|8.162008|-0.000000
138.000000|98.913474|1134.731123|-0.000000|8.162007|-0.008472|8.162002|-0.000000
139.000000|98.905002|1142.893120|-0.000000|8.162002|-0.008473|8.161997|-0.000000
140.000000|98.896529|1151.055112|-0.000000|8.161997|-0.008473|8.161992|-0.000000
141.000000|98.888056|1159.217100|-0.000000|8.161992|-0.008473|8.161987|-0.000000
142.000000|98.879582|1167.379082|-0.000000|8.161987|-0.008474|8.161982|-0.000000
143.000000|98.871108|1175.541059|-0.000000|8.161982|-0.008474|8.161977|-0.000000
144.000000|98.862633|1183.703032|-0.000000|8.161977|-0.008475|8.161973|-0.000000
145.000000|98.854158|1191.865000|-0.000000|8.161972|-0.008475|8.161968|-0.000000
146.000000|98.845683|1200.026963|-0.000000|8.161968|-0.008475|8.161963|-0.000000
147.000000|98.837207|1208.188922|-0.000000|8.161963|-0.008476|8.161959|-0.000000
148.000000|98.828731|1216.350876|-0.000000|8.161959|-0.008476|8.161954|-0.000000
149.000000|98.820254|1224.512826|-0.000000|8.161954|-0.008476|8.161950|-0.000000
150.000000|98.811777|1232.674772|-0.000000|8.161950|-0.008477|8.161945|-0.000000
151.000000|98.803300|1240.836713|-0.000000|8.161945|-0.008477|8.161941|-0.000000
152.000000|98.794823|1248.998649|-0.000000|8.161941|-0.008478|8.161937|-0.000000
153.000000|98.786345|1257.160582|-0.000000|8.161937|-0.008478|8.161932|-0.000000
